,Assembly Code,Assembly Description,DOOR_Radiation Protection,Sill Height,Blind Type,DOOR_Finger Protection,DOOR_Privacy VP,DOOR_Ventilation,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finishes,DOOR_Protection,DOOR_Signage,DOOR_Type,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Comments,Ironmongery Set,DOOR_Acoustic Rating,DOOR_Power,Main Panel Width,Secondary Panel Width,NBSDescription,NBSNote,NBSReference,NBSTypeID,AssetIdentifier,Colour,Constituents,Features,Grade,InstallationDate,Material,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,NominalLength,NominalWidth,NominalHeight,Vision Panel,DOOR_Wall Thickness,FrameDepth,FrameWidth,Heat Transfer Coefficient (U),O/A Frame Width,Solar Heat Gain Coefficient,Thermal Resistance (R),Visual Light Transmittance,Accessories & Sundry Items,Durability Rating
IfcText('ENT0017.D4'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText('Kick'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0L1WWT9VL7MQ35P6WG30kO'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('ENT0017.D4'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('249'),IfcLengthMeasure(710.),,IfcText('03b'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT0016.D2'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText('Kick'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3viLh6ItD72fabK$Y0QcsX'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('ENT0016.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('249'),IfcLengthMeasure(710.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1009.D4'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText('Kick'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1zcDe44QL39gSHRFwWPTKa'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ENT1009.D4'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('249'),IfcLengthMeasure(710.),,IfcText('03b'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1009.D3'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText('Kick'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1zcDe44QL39gSHRFwWPTM4'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ENT1009.D3'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('249'),IfcLengthMeasure(710.),,IfcText('03b'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1009.D2'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText('Kick'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1zcDe44QL39gSHRFwWPTN9'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ENT1009.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('249'),IfcLengthMeasure(710.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1008.D2'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText('Kick'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3pjBnes_vDjeo6iPJCwj3f'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ENT1008.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('249'),IfcLengthMeasure(710.),,IfcText('03b'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1009.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(816.),IfcText('TBC'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 900mm - 2110mm S/O Cold room'),IfcLabel('IDT 1d - Single Door: 900mm - 2110mm S/O Cold room'),IfcText(''),,IfcText(''),IfcLengthMeasure(32.),,IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0fEqNCPurFrQMkGdrJqI$H'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1009.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(900.),IfcLengthMeasure(38.),IfcLengthMeasure(75.),IfcLabel('IDT 1d - Single Door: 900mm - 2110mm S/O Cold room'),IfcText('SD/SS'),IfcText('289'),IfcLengthMeasure(900.),IfcText('Cold Room doors specified and supplied by specialist'),IfcText('Supplied by Specialist Contractor'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1004.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),,IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Half Height/ Edge'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('2PEOpbQGP3YvSlR0s6Rdna'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('CAT1004.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(122.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('283'),IfcLengthMeasure(1510.),,IfcText('17c'),,IfcText('Delayed Close'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,,,,,,,,,,,,,,,,,,,,,,,,,IfcBoolean(.F.),,,,,,,,,IfcText('TBC'),IfcText('TBC')
IfcText('CAT1003.D2'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),,,IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1c'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3B4gBdUgv4y8tghYI72ytw'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1003.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('270'),IfcLengthMeasure(1060.),,IfcText('05DA'),,IfcText('Delayed Close'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('PLA0312.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Painted'),IfcText('Painted Finish'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3ooxYjd4LEkvo4TuTyoC0H'),IfcText('L20/439'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PLA0312.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(121.5),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('297'),IfcLengthMeasure(710.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('PLA1312.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('Painted Finish'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3ooxYjd4LEkvo4TuTyoDxX'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('PLA1312.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(82.5),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('249'),IfcLengthMeasure(710.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1002.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),,,IfcText('ROLL'),,IfcLengthMeasure(44.),,IfcText('TBC'),IfcText(''),IfcText('TBC'),IfcText('IDT 9a'),IfcLabel('IDT 9a - Roller Shutter: 3375 x 2405mm'),IfcLabel('IDT 9a - Roller Shutter: 3375 x 2405mm'),,IfcText(''),,,,IfcLengthMeasure(2405.),IfcLengthMeasure(2405.),,IfcText('2DIgkT8HDAjPTHWGnV_mdT'),IfcText('L20'),IfcLabel('Level: Level 1'),,IfcText('CAT1002.D1'),IfcText('Roller Shutter'),IfcLabel('New Construction'),,,IfcLengthMeasure(2405.),IfcLengthMeasure(3375.),IfcLengthMeasure(44.),IfcLengthMeasure(97.0000000009612),IfcLabel('IDT 9a - Roller Shutter: 3375 x 2405mm'),IfcText('Roller Shutter'),IfcText('294'),IfcLengthMeasure(3375.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcBoolean(.F.),IfcLengthMeasure(299.999999999983),IfcLengthMeasure(89.),IfcLengthMeasure(42.),IfcReal(3.7021),IfcLengthMeasure(64.),IfcReal(0.),IfcReal(0.270116960643959),IfcReal(0.),,
IfcText('CAT1003.D3'),IfcText(''),IfcText(''),IfcText('TBC'),IfcLengthMeasure(0.),,IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('ROLL'),,IfcLengthMeasure(1.),,IfcText('TBC'),IfcText('TBC'),IfcText('TBC'),IfcText('IDT 9e'),IfcLabel('IDT 9e - Fire Curtain: 2030 x 2100mm'),IfcLabel('IDT 9e - Fire Curtain: 2030 x 2100mm'),,IfcText('FD30S'),,,,IfcLengthMeasure(2100.),IfcLengthMeasure(2100.),,IfcText('2Zwpm$5G95KwldweACkrxj'),IfcText('L20'),IfcLabel('Level: Level 1'),,IfcText('CAT1003.D3'),IfcText('Roller Shutter'),IfcLabel('New Construction'),,,IfcLengthMeasure(2100.),IfcLengthMeasure(2030.),IfcLengthMeasure(1.),IfcLengthMeasure(97.0000000009612),IfcLabel('IDT 9e - Fire Curtain: 2030 x 2100mm'),IfcText('Roller Shutter'),IfcText('300'),IfcLengthMeasure(2030.),,IfcText('TBC'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcBoolean(.F.),IfcLengthMeasure(299.999999999983),IfcLengthMeasure(33.),IfcLengthMeasure(103.),IfcReal(3.7021),IfcLengthMeasure(64.),IfcReal(0.),IfcReal(0.270116960643959),IfcReal(0.),,
