,Ironmongery Set,Mapped Ironmongery Set,Comparison
548,19a,19a,True
549,18,18,True
550,18,18,True
551,18,18,True
552,18,18,True
553,06b,06b,True
554,21aDA,21aDA,True
555,11q,11q,True
556,03b,03b,True
557,17b,17b,True
558,17b,17b,True
559,17b,17b,True
560,06b,06b,True
561,06b,06b,True
562,06b,06b,True
563,06b,06b,True
564,06b,06b,True
565,06b,06b,True
566,3,3,True
567,03b,03b,True
568,17b,17b,True
569,06b,06b,True
570,04b,04b,True
571,06b,06b,True
572,17c,17c,True
573,03b,03b,True
574,03b,03b,True
575,17b,17b,True
576,06b,06b,True
577,22d,22d,True
578,06b,06b,True
579,06b,06b,True
580,6,6,True
581,19a,19a,True
582,03DA,03DA,True
583,Specialist,0,False
584,3,3,True
585,30a,30a,True
586,06b,06b,True
587,06b,06b,True
588,11j,11j,True
589,06b,06b,True
590,06b,06b,True
591,6,6,True
592,06b,06b,True
593,06b,06b,True
594,03b,03b,True
595,03b,03b,True
596,03b,03b,True
597,03b,03b,True
598,03b,03b,True
599,03b,03b,True
600,06b,06b,True
601,03b,03b,True
602,03b,03b,True
603,11k,11k,True
604,03b,03b,True
605,21bDA,21bDA,True
606,17c,17c,True
607,03b,03b,True
608,4,4,True
609,03b,03b,True
610,03b,03b,True
611,03b,03b,True
612,03b,03b,True
613,17c,17c,True
614,17b,17b,True
615,06b,06b,True
616,17b,17b,True
617,06b,06b,True
618,06b,06b,True
619,22d,22d,True
620,06b,06b,True
621,As Spec Ref: L11/581,0,False
622,04a,04a,True
623,06b,06b,True
624,33e,33e,True
625,33e,33e,True
626,33e,33e,True
627,O6b,O6b,True
628,03DA,03DA,True
629,3,3,True
630,3,3,True
631,06b,06b,True
632,06b,06b,True
633,06b,06b,True
634,06b,06b,True
635,03b,03b,True
636,06b,06b,True
637,06b,06b,True
638,06b,06b,True
639,08fDA,08fDA,True
640,06b,06b,True
641,04b,04b,True
642,03b,03b,True
643,06b,06b,True
644,06b,06b,True
645,03b,03b,True
646,06b,06b,True
647,06b,06b,True
648,03b,03b,True
649,06b,06b,True
650,06b,06b,True
651,06b,06b,True
652,03b,03b,True
653,3,3,True
654,03DA,03DA,True
655,06b,06b,True
656,06b,06b,True
657,06b,06b,True
658,06b,06b,True
659,04b,04b,True
660,17b,17b,True
661,03b,03b,True
662,22e,22e,True
663,11r,11r,True
664,33e,33e,True
665,21dDA,21dDA,True
666,12d,12d,True
667,43a,43a,True
668,43,43,True
669,21gDA,21gDA,True
670,29DA,29DA,True
671,29aDA,29aDA,True
672,08e,08e,True
673,06b,06b,True
674,06b,06b,True
675,06b,06b,True
676,03b,03b,True
677,03b,03b,True
678,03b,03b,True
679,17f,17f,True
680,29aDA,29aDA,True
681,17f,17f,True
682,17f,17f,True
683,03b,03b,True
684,03b,03b,True
685,29DA,29DA,True
686,21bDA,21bDA,True
687,21bDA,21bDA,True
688,21bDA,21bDA,True
689,21bDA,21bDA,True
690,06b,06b,True
691,06c,06c,True
692,17b,17b,True
693,13c,13c,True
694,21dDA,21dDA,True
695,21dDA,21dDA,True
696,06b,06b,True
697,05cDA,05cDA,True
698,19c+,19c+,True
699,44,44,True
700,19c,19c,True
701,19c,19c,True
702,05cDA,05cDA,True
703,19c+,19c+,True
704,44,44,True
705,04b,04b,True
706,06c,06c,True
707,11DA,11DA,True
708,04b,04b,True
709,17b,17b,True
710,17b,17b,True
711,17b,17b,True
712,22c,22c,True
713,17c,17c,True
714,06b,06b,True
715,17b,17b,True
716,06b,06b,True
717,03b,03b,True
718,03b,03b,True
719,03b,03b,True
720,03b,03b,True
721,03b,03b,True
722,06b,06b,True
723,06b,06b,True
724,03b,03b,True
725,21DA,21DA,True
726,22c,22c,True
727,05cDA,05cDA,True
728,12e*,12e*,True
729,11*,11*,True
730,06b,06b,True
731,1,1,True
732,1,1,True
733,03b,03b,True
734,05a,05a,True
735,05a,05a,True
736,19a,19a,True
737,06b,06b,True
738,19a,19a,True
739,05aDA,05aDA,True
740,03b,03b,True
741,26a,26a,True
742,03g,03g,True
743,03g,03g,True
744,03b,03b,True
745,12e*,12e*,True
746,06b,06b,True
747,11*,11*,True
748,06b,06b,True
749,17b,0,False
750,13c,13c,True
751,06b,06b,True
752,2,2,True
753,2,2,True
754,4,4,True
755,06b,06b,True
756,06b,06b,True
757,06b,06b,True
758,17b,17b,True
759,42,42,True
760,06b,06b,True
761,03b,03b,True
762,1,1,True
763,1,1,True
764,06b,06b,True
765,17b,17b,True
766,TBC,,False
767,12e*,12e*,True
768,06b,06b,True
769,12*,12*,True
770,12*,12*,True
771,1,1,True
772,1,1,True
773,06b,06b,True
774,1,1,True
775,1,1,True
776,1,1,True
777,06b,06b,True
778,17b,17b,True
779,1,1,True
780,1,1,True
781,06b,06b,True
782,06b,06b,True
