,Unnamed: 0,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark,DoorType,Mapped Level,Mapped MasterMark,Mapped Type,Mapped Height,Mapped Width,Mapped Fire Rating,Mapped Spec Ref,Mapped Access Control,Mapped Leaf Protection,Mapped Door Power,Mapped Ironmongery Set,Mapped Gap,Mapped Acoustic Rating,Mapped Wall Thickness (mm),Mapped Set ref,Mapped DoorType,Mapped Leaf,Mapped Swing,Mapped Fire,Mapped Xray,Mapped PowerCloserDelay,Mapped PullOrLever,Mapped Lock,Mapped SlaveLeafBolted,Mapped AccessControl,Mapped Direction,Mapped KickPlate,Mapped Mid-rail,Mapped FingerProtection,Mapped TypicalUses,Mapped SetDetails,Mapped Mid‐rail
20,223119,223119,IfcDoor,1dUmRIZWrCdfFpscYBPC1B,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1248873,,1060mm - 2110mm S/O Laminate,"#976400=IfcLocalPlacement(#976379,#976399)","#223113=IfcProductDefinitionShape($,$,(#223106,#223111))",1248873,2110,1060,,MOR0020.D1,IDT 1d ,Level 0,MOR0020.D1,IDT 1d,2110,1060,,L20/431,,Kick,,06b,6,,97,06b,,1,Single,,,,Lever,Lock,,,,1 side,,,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,As LSL,
21,223499,223499,IfcDoor,3RSOlR7IH9lvVDN7jZKj0R,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1274768,,810mm - 2110mm S/O Laminate,"#976690=IfcLocalPlacement(#976671,#976689)","#223493=IfcProductDefinitionShape($,$,(#223486,#223491))",1274768,2110,810,,PTH0009.D1,IDT 1d ,Level 0,PTH0009.D1,IDT 1d,2110,810,,L20/431,,Kick,,03b,6,,97,03b,,1,Single,,,,Lever,Bathroom,,,,1 side,,,WCs no closer,As LSL,
22,223636,223636,IfcDoor,3RSOlR7IH9lvVDN7jZKj0Z,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1274792,,810mm - 2110mm S/O Laminate,"#976725=IfcLocalPlacement(#976706,#976724)","#223630=IfcProductDefinitionShape($,$,(#223623,#223628))",1274792,2110,810,,PTH0010.D1,IDT 1d ,Level 0,PTH0010.D1,IDT 1d,2110,810,,L20/431,,Kick,,03b,6,,97,03b,,1,Single,,,,Lever,Bathroom,,,,1 side,,,WCs no closer,As LSL,
23,256968,256968,IfcDoor,3ra13DRcT9jw_weVXWKmcP,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1e - Single Door (Glazed):1060mm-2110mm S/O Laminate:1281261,,1060mm-2110mm S/O Laminate,"#976945=IfcLocalPlacement(#976922,#976944)","#256962=IfcProductDefinitionShape($,$,(#256955,#256960))",1281261,2110,1060,,MOR0003.D1,IDT 1e ,Level 0,MOR0003.D1,IDT 1e,2110,1060,,L20/431,,Kick,,06b,3,30dB,97,06b,,1,Single,,,,Lever,Lock,,,,1 side,,,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,As LSL,
24,283632,283632,IfcDoor,3ra13DRcT9jw_weVXWKnN6,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1282226,,1060mm - 2110mm S/O Laminate,"#976982=IfcLocalPlacement(#976961,#976981)","#283626=IfcProductDefinitionShape($,$,(#283619,#283624))",1282226,2110,1060,,MOR0026.D1,IDT 1c ,Level 0,MOR0026.D1,IDT 1c,2110,1060,,L20/431,,Kick,,06b,3,30dB,127,06b,,1,Single,,,,Lever,Lock,,,,1 side,,,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,As LSL,
25,296419,296419,IfcDoor,3ra13DRcT9jw_weVXWKnHG,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1282340,,1060mm - 2110mm S/O Laminate,"#976906=IfcLocalPlacement(#976885,#976905)","#296413=IfcProductDefinitionShape($,$,(#296406,#296411))",1282340,2110,1060,,MOR0025.D1,IDT 1d ,Level 0,MOR0025.D1,IDT 1d,2110,1060,,L20/431,,Kick,,03b,6,,122,03b,,1,Single,,,,Lever,Bathroom,,,,1 side,,,WCs no closer,As LSL,
26,310036,310036,IfcDoor,02vn32zDnB$8wUrm5DNN9h,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 3d - Equal Double Door:1910mm - 2110mm S/O Laminate:1286422,,1910mm - 2110mm S/O Laminate,"#977021=IfcLocalPlacement(#976998,#977020)","#310030=IfcProductDefinitionShape($,$,(#310023,#310028))",1286422,2110,1910,,MOR0017.D2,IDT 3d ,Level 0,MOR0017.D2,IDT 3d,2110,1910,,L20/431,,Kick/Mid/Edge,Delayed Close,21bDA,6,,97,21bDA,,2,Single,,,2 Delay,2 Pulls,,,,,1 side,,,,As LSL but SSS kickplates changed to PVC plus 900x200 PVC midplates,1 side
27,323910,323910,IfcDoor,02vn32zDnB$8wUrm5DNNOf,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:1287508,,1510mm - 2110mm S/O Laminate,"#975993=IfcLocalPlacement(#975970,#975992)","#323904=IfcProductDefinitionShape($,$,(#323897,#323902))",1287508,2110,1510,,MOR0017.D1,IDT 2b ,Level 0,MOR0017.D1,IDT 2b,2110,1510,,L20/431,,Kick,,17b,6,,97,17b,,1.5,Single,,,,Lever,Lock,Flush,,,1 side,,,,As LSL,
28,324122,324122,IfcDoor,38jl2ZW2f5_wKKaZSwenk_,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1289159,,1060mm - 2110mm S/O Laminate,"#977060=IfcLocalPlacement(#977037,#977059)","#324116=IfcProductDefinitionShape($,$,(#324109,#324114))",1289159,2110,1060,,MOR0C02.D1,IDT 1d ,Level 0,MOR0C02.D1,IDT 1d,2110,1060,,L20/431,Yes,Kick/Edge,,33h,6,,122,33h,,1,Single,,,Closer,Pull,,,Maglock,Out,1 side,,,,New set - As LSL 33e but SSS kickplate changed to PVC minus Fire Door Keep Shut signs,
29,334891,334891,IfcDoor,1S19ZrPcr3lAhcc4KAaOdR,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1290742,,710mm - 2110mm S/O Laminate,"#976435=IfcLocalPlacement(#976416,#976434)","#334885=IfcProductDefinitionShape($,$,(#334878,#334883))",1290742,2110,710,,MOR0019.D1,IDT 1d ,Level 0,MOR0019.D1,IDT 1d,2110,710,,L20/431,,Kick,,06b,6,,97,06b,,1,Single,,,,Lever,Lock,,,,1 side,,,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,As LSL,
30,335219,335219,IfcDoor,3mJLKbRDf8Fg6KvybHpUqr,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:1314962,,1060mm-2110mm S/O Laminate,"#977099=IfcLocalPlacement(#977076,#977098)","#335213=IfcProductDefinitionShape($,$,(#335206,#335211))",1314962,2110,1060,,PTH0037.D2,IDT 1b ,Level 0,PTH0037.D2,IDT 1b,2110,1060,,L20/431,Yes,Kick,,04b,6,,97,04b,,1,Single,,,Closer,Pull,Lock,,Maglock,In,1 side,,,,New set - as 04b but SSS kickplate changed to PVC,
31,403931,403931,IfcDoor,2maO95VHv49xuSLOrbspS3,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O DS Laminate:1376628,,1910mm - 2110mm S/O DS Laminate,"#976143=IfcLocalPlacement(#976122,#976142)","#403925=IfcProductDefinitionShape($,$,(#403918,#403923))",1376628,2110,1910,,MOR0015.D1,IDT 3b ,Level 0,MOR0015.D1,IDT 3b,2110,1910,,L20/431,,Kick,Delayed Close,22b,3,30dB,97,22b,,2,Double,,,RS Springs,,Lock,Flush,,,2 sides,,,,As LSL but floor springs changed to reduced speed type,
32,407927,407927,IfcDoor,2uFdc2UR97VONjwEp1ucQF,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 9a - Roller Shutter:2650 x 1525mm:1507106,,2650 x 1525mm,"#977319=IfcLocalPlacement(#977298,#977318)","#407921=IfcProductDefinitionShape($,$,(#407914,#407919))",1507106,1515,2650,,PTH0001.D2,IDT 9a ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,549057,549057,IfcDoor,3woatoYef83wffw1z3c3sz,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1634199,,1060mm - 2110mm S/O Laminate,"#977467=IfcLocalPlacement(#977446,#977466)","#549051=IfcProductDefinitionShape($,$,(#549044,#549049))",1634199,2110,1060,,MOR0001.D1,IDT 1c ,Level 0,MOR0001.D1,IDT 1c,2110,1060,,L20/431,,Kick,,06b,6,,122,06b,,1,Single,,,,Lever,Lock,,,,1 side,,,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,As LSL,
34,566461,566461,IfcDoor,3eOXcpD6L1ufOkkwnXB$Mm,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2388868,,1060mm - 2110mm S/O Laminate,"#977356=IfcLocalPlacement(#977335,#977355)","#566455=IfcProductDefinitionShape($,$,(#566448,#566453))",2388868,2110,1060,,PTH0034.D1,IDT 1d ,Level 0,PTH0034.D1,IDT 1d,2110,1060,,L20/431,,Kick,,16,16,,97,16,,1,Single,,,,Lever,,,,,1 side,,,Quiet,As LSL,
