,id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,MappedDoors
22,130770,PHA0023.D1,IfcDoor,3eU0YvCT97_9DJGqZfupS2,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O:979410,,1060mm - 2110mm S/O,"#151963=IfcLocalPlacement(#151944,#151962)","#130764=IfcProductDefinitionShape($,$,(#130758,#130762))",979410,2109.99999999998,1060.0,
23,24177,ACC2C05.D2,IfcDoor,0l6f1AsAP0dRhYKb$oMb5A,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:889902,,1060mm - 2110mm S/O PVC,"#1379883=IfcLocalPlacement(#1379862,#1379882)","#24171=IfcProductDefinitionShape($,$,(#24164,#24169))",889902,2109.99999999999,1060.0,
24,38093,ACC2029.D1,IfcDoor,3FEAneoIXD1gt1On9YNWT$,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:889907,,1510mm - 2110mm S/O Laminate,"#1380002=IfcLocalPlacement(#1379981,#1380001)","#38087=IfcProductDefinitionShape($,$,(#38080,#38085))",889907,2110.00000000001,1510.00000000004,
25,50263,ACC2025.D2,IfcDoor,0l6f1AsAP0dRhYKb$oMb5Q,IDT 3d - Equal Double Door:1910mm - 2110mm S/O Lead Lined PVC:889918,,1910mm - 2110mm S/O Lead Lined PVC,"#1380039=IfcLocalPlacement(#1380018,#1380038)","#50257=IfcProductDefinitionShape($,$,(#50250,#50255))",889918,2110.0,1909.9999999999802,
26,106874,ACC2C06.D1,IfcDoor,0wu2Dg1cH9DuPnOKZkvxrF,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O PVC:889973,FD30S,1910mm - 2110mm S/O PVC,"#1380152=IfcLocalPlacement(#1380129,#1380151)","#106868=IfcProductDefinitionShape($,$,(#106861,#106866))",889973,2110.0,1909.9999999999802,FD30S
27,162142,ACC2C04.D1,IfcDoor,0l6f1AsAP0dRhYKb$oMb7Y,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O PVC:889990,FD30S,1910mm - 2110mm S/O PVC,"#1380191=IfcLocalPlacement(#1380168,#1380190)","#162136=IfcProductDefinitionShape($,$,(#162129,#162134))",889990,2110.0,1909.99999999995,FD30S
28,187035,ACC2009.D1,IfcDoor,0l6f1AsAP0dRhYKb$oMb7$,IDT 1f - Single Door (Glazed):1060mm - 2110mm S/O Laminate:890011,,1060mm - 2110mm S/O Laminate,"#1380226=IfcLocalPlacement(#1380207,#1380225)","#187029=IfcProductDefinitionShape($,$,(#187022,#187027))",890011,2109.99999999999,1060.0,
29,201333,ACC2020.D1,IfcDoor,1jZDEdpEH0UA7$fOMqvE9X,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:895911,,1060mm - 2110mm S/O PVC,"#1380512=IfcLocalPlacement(#1380493,#1380511)","#201327=IfcProductDefinitionShape($,$,(#201320,#201325))",895911,2109.99999999999,1060.0,
30,227744,ACC2020.D2,IfcDoor,1jZDEdpEH0UA7$fOMqvE9l,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Lead Lined PVC:895913,,1060mm - 2110mm S/O Lead Lined PVC,"#1380477=IfcLocalPlacement(#1380456,#1380476)","#227738=IfcProductDefinitionShape($,$,(#227731,#227736))",895913,2109.99999999999,1060.0,
31,254595,ACC2019.D1,IfcDoor,1jZDEdpEH0UA7$fOMqvEJF,IDT 1c - Single Door (Glazed):1210mm - 2110mm S/O Lead Lined PVC:896265,,1210mm - 2110mm S/O Lead Lined PVC,"#1380333=IfcLocalPlacement(#1380312,#1380332)","#254589=IfcProductDefinitionShape($,$,(#254582,#254587))",896265,2109.99999999999,1210.00000000004,
32,267425,ACC2024.D2,IfcDoor,1jZDEdpEH0UA7$fOMqvEI6,IDT 1d - Single Door:1060mm - 2110mm S/O Lead Lined PVC:896320,,1060mm - 2110mm S/O Lead Lined PVC,"#1380549=IfcLocalPlacement(#1380528,#1380548)","#267419=IfcProductDefinitionShape($,$,(#267412,#267417))",896320,2109.99999999999,1060.00000000011,
33,280252,ACC2024.D1,IfcDoor,1jZDEdpEH0UA7$fOMqvEIL,IDT 1d - Single Door:1060mm - 2110mm S/O Lead Lined PVC:896339,,1060mm - 2110mm S/O Lead Lined PVC,"#1380586=IfcLocalPlacement(#1380565,#1380585)","#280246=IfcProductDefinitionShape($,$,(#280239,#280244))",896339,2109.99999999999,1060.00000000011,
34,293209,ACC2026.D1,IfcDoor,1jZDEdpEH0UA7$fOMqvERB,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:896781,,1060mm - 2110mm S/O PVC,"#1380440=IfcLocalPlacement(#1380421,#1380439)","#293203=IfcProductDefinitionShape($,$,(#293196,#293201))",896781,2109.99999999999,1060.0,
35,319620,ACC2026.D2,IfcDoor,1jZDEdpEH0UA7$fOMqvER9,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Lead Lined PVC:896783,,1060mm - 2110mm S/O Lead Lined PVC,"#1380625=IfcLocalPlacement(#1380602,#1380624)","#319614=IfcProductDefinitionShape($,$,(#319607,#319612))",896783,2109.99999999999,1060.0,
36,346251,ACC2025.D1,IfcDoor,1jZDEdpEH0UA7$fOMqvERM,IDT 1c - Single Door (Glazed):1210mm - 2110mm S/O Lead Lined PVC:896784,,1210mm - 2110mm S/O Lead Lined PVC,"#1380368=IfcLocalPlacement(#1380349,#1380367)","#346245=IfcProductDefinitionShape($,$,(#346238,#346243))",896784,2109.99999999999,1210.00000000004,
37,359392,ACC2010.D1,IfcDoor,0l5IODu$fFeuMGp7xgD1VB,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:902064,,1060mm - 2110mm S/O Laminate,"#1380261=IfcLocalPlacement(#1380242,#1380260)","#359386=IfcProductDefinitionShape($,$,(#359379,#359384))",902064,2109.99999999999,1060.0,
38,359572,ACC2C05.D1,IfcDoor,1jA4HXxdj01wnxjqbvMhkh,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:904477,,1060mm - 2110mm S/O PVC,"#1380074=IfcLocalPlacement(#1380055,#1380073)","#359566=IfcProductDefinitionShape($,$,(#359559,#359564))",904477,2109.99999999999,1060.0,
39,414743,ACC2C01.D1,IfcDoor,1awIbd2UT8iOqAF3G80mVF,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:904857,FD30S,1910mm - 2110mm S/O Laminate,"#1380664=IfcLocalPlacement(#1380641,#1380663)","#414737=IfcProductDefinitionShape($,$,(#414730,#414735))",904857,2110.0,1909.99999999995,FD30S
40,427964,ACC2013.D1,IfcDoor,0rjgSoT5b8UvuXvZ1eg6BF,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:908387,,1060mm - 2110mm S/O Laminate,"#1380296=IfcLocalPlacement(#1380277,#1380295)","#427958=IfcProductDefinitionShape($,$,(#427951,#427956))",908387,2109.99999999999,1060.0,
41,441994,ACC2005.D1,IfcDoor,3wHjWDBdP8TO5_9NkM4gpo,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:911937,,1510mm - 2110mm S/O Laminate,"#1380814=IfcLocalPlacement(#1380793,#1380813)","#441988=IfcProductDefinitionShape($,$,(#441981,#441986))",911937,2110.00000000001,1510.00000000004,
42,455378,ACC2006.D1,IfcDoor,3wHjWDBdP8TO5_9NkM4gpn,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:911938,,1510mm - 2110mm S/O Laminate,"#1380777=IfcLocalPlacement(#1380756,#1380776)","#455372=IfcProductDefinitionShape($,$,(#455365,#455370))",911938,2110.00000000001,1510.00000000004,
43,455761,ACC2003.D1,IfcDoor,3wHjWDBdP8TO5_9NkM4gpr,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:911942,,1510mm - 2110mm S/O Laminate,"#1380851=IfcLocalPlacement(#1380830,#1380850)","#455755=IfcProductDefinitionShape($,$,(#455748,#455753))",911942,2110.00000000001,1510.00000000004,
44,520983,ACC2C03.D3,IfcDoor,3xDgKGRjf4rhBc9kY2JuFf,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O DS PVC:913539,FD30S,1910mm - 2110mm S/O DS PVC,"#1380888=IfcLocalPlacement(#1380867,#1380887)","#520977=IfcProductDefinitionShape($,$,(#520970,#520975))",913539,2110.0,1909.9999999999802,FD30S
45,521348,ACC2052.D1,IfcDoor,3xDgKGRjf4rhBc9kY2Ju6U,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:914164,FD30S,1510mm - 2110mm S/O Laminate,"#1380962=IfcLocalPlacement(#1380941,#1380961)","#521342=IfcProductDefinitionShape($,$,(#521335,#521340))",914164,2110.00000000001,1510.00000000004,FD30S
46,534106,ACC2051.D1,IfcDoor,3xDgKGRjf4rhBc9kY2Ju1A,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:914208,,1060mm - 2110mm S/O Laminate,"#1380999=IfcLocalPlacement(#1380978,#1380998)","#534100=IfcProductDefinitionShape($,$,(#534093,#534098))",914208,2109.99999999999,1060.0,
47,534399,ACC2004.D1,IfcDoor,3xDgKGRjf4rhBc9kY2JuQc,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:914892,,1510mm - 2110mm S/O Laminate,"#1381038=IfcLocalPlacement(#1381015,#1381037)","#534393=IfcProductDefinitionShape($,$,(#534386,#534391))",914892,2110.00000000001,1510.00000000004,
48,560710,ACC2008.D1,IfcDoor,3xDgKGRjf4rhBc9kY2JuNH,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:915131,,1060mm - 2110mm S/O Laminate,"#1380703=IfcLocalPlacement(#1380680,#1380702)","#560704=IfcProductDefinitionShape($,$,(#560697,#560702))",915131,2109.99999999999,1060.00000000011,
49,572071,ACC2012.D1,IfcDoor,3qdHJCzXfDEh3VVNrliyxB,IDT 1d - Single Door:810mm - 2110mm S/O Laminate:916363,,810mm - 2110mm S/O Laminate,"#1380740=IfcLocalPlacement(#1380719,#1380739)","#572065=IfcProductDefinitionShape($,$,(#572058,#572063))",916363,2109.99999999999,809.999999999989,
50,582867,ACC2011.D1,IfcDoor,3qdHJCzXfDEh3VVNrliyxS,IDT 1d - Single Door:810mm - 2110mm S/O Laminate:916380,,810mm - 2110mm S/O Laminate,"#1381075=IfcLocalPlacement(#1381054,#1381074)","#582861=IfcProductDefinitionShape($,$,(#582854,#582859))",916380,2109.99999999999,809.999999999989,
51,593596,ACC2014.D1,IfcDoor,3qdHJCzXfDEh3VVNrliywY,IDT 1d - Single Door:810mm - 2110mm S/O Laminate:916450,,810mm - 2110mm S/O Laminate,"#1381149=IfcLocalPlacement(#1381128,#1381148)","#593590=IfcProductDefinitionShape($,$,(#593583,#593588))",916450,2109.99999999999,809.999999999989,
52,604326,ACC2015.D1,IfcDoor,3qdHJCzXfDEh3VVNrliyw_,IDT 1d - Single Door:810mm - 2110mm S/O Laminate:916478,,810mm - 2110mm S/O Laminate,"#1381112=IfcLocalPlacement(#1381091,#1381111)","#604320=IfcProductDefinitionShape($,$,(#604313,#604318))",916478,2109.99999999999,809.999999999989,
53,617085,ACC2044.D1,IfcDoor,2DAyjDfVL0kwbEFUq1ZWFm,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:916854,,1060mm - 2110mm S/O Laminate,"#1381188=IfcLocalPlacement(#1381165,#1381187)","#617079=IfcProductDefinitionShape($,$,(#617072,#617077))",916854,2109.99999999999,1060.00000000011,
54,617663,ACC2017.D1,IfcDoor,2AgJOJDdD4FBnqsGXyRPUc,IDT 1f - Single Door (Glazed):1060mm - 2110mm S/O Laminate:917178,,1060mm - 2110mm S/O Laminate,"#1381225=IfcLocalPlacement(#1381204,#1381224)","#617657=IfcProductDefinitionShape($,$,(#617650,#617655))",917178,2109.99999999999,1060.0,
55,618051,ACC2053.D1,IfcDoor,2AgJOJDdD4FBnqsGXyRcl2,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:918238,,1060mm - 2110mm S/O Laminate,"#1380925=IfcLocalPlacement(#1380904,#1380924)","#618045=IfcProductDefinitionShape($,$,(#618038,#618043))",918238,2109.99999999999,1060.0,
56,618160,ACC2016.D1,IfcDoor,358ZqUUsXDVugmE09U9oeR,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:918630,,1060mm - 2110mm S/O Laminate,"#1381262=IfcLocalPlacement(#1381241,#1381261)","#618154=IfcProductDefinitionShape($,$,(#618147,#618152))",918630,2109.99999999999,1060.0,
57,630152,ACC2018.D1,IfcDoor,2H50HiD6L4dRKTWZc1sRBc,IDT 3d - Equal Double Door:1910mm - 2110mm S/O Laminate:918662,,1910mm - 2110mm S/O Laminate,"#1381301=IfcLocalPlacement(#1381278,#1381300)","#630146=IfcProductDefinitionShape($,$,(#630139,#630144))",918662,2110.0,1909.9999999999802,
58,695350,ACC2C03.D1,IfcDoor,2H50HiD6L4dRKTWZc1sRAq,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O DS PVC:918740,FD30S,1910mm - 2110mm S/O DS PVC,"#1381340=IfcLocalPlacement(#1381317,#1381339)","#695344=IfcProductDefinitionShape($,$,(#695337,#695342))",918740,2110.0,1909.9999999999802,FD30S
59,695456,ACC2023.D1,IfcDoor,13HTYd4h9BVeD1qGOiqgNx,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:919476,,1060mm - 2110mm S/O PVC,"#1380405=IfcLocalPlacement(#1380384,#1380404)","#695450=IfcProductDefinitionShape($,$,(#695443,#695448))",919476,2109.99999999999,1060.0,
60,761437,ACU2C03.D3,IfcDoor,0AcAo2VQn4rQjj5WAAoGK3,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O DS Laminate:920600,FD30S,1910mm - 2110mm S/O DS Laminate,"#1381453=IfcLocalPlacement(#1381430,#1381452)","#761431=IfcProductDefinitionShape($,$,(#761424,#761429))",920600,2110.0,1910.0,FD30S
61,816676,ACU2C03.D2,IfcDoor,0AcAo2VQn4rQjj5WAAoGK2,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:920601,FD30S,1910mm - 2110mm S/O Laminate,"#1381490=IfcLocalPlacement(#1381469,#1381489)","#816670=IfcProductDefinitionShape($,$,(#816663,#816668))",920601,2110.0,1909.99999999995,FD30S
62,817738,ACU2194.D1,IfcDoor,2I5mIQmuHEzPrlou5PGF$E,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:920619,,1060mm - 2110mm S/O Laminate,"#1381564=IfcLocalPlacement(#1381543,#1381563)","#817732=IfcProductDefinitionShape($,$,(#817725,#817730))",920619,2109.99999999999,1060.0,
63,831944,ACU2112A.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGKs,IDT 2d - Double Unequal Door:1710mm - 2110mm S/O Laminate:920621,,1710mm - 2110mm S/O Laminate,"#1381379=IfcLocalPlacement(#1381356,#1381378)","#831938=IfcProductDefinitionShape($,$,(#831931,#831936))",920621,2110.0,1710.0000000000302,
64,845725,ACU2112.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGKr,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:920622,,1480mm - 2110mm S/O Laminate,"#1381414=IfcLocalPlacement(#1381395,#1381413)","#845719=IfcProductDefinitionShape($,$,(#845712,#845717))",920622,2110.0,1480.00000000001,
65,858563,ACU2134.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGKg,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:920625,,1060mm - 2110mm S/O Laminate,"#1381527=IfcLocalPlacement(#1381506,#1381526)","#858557=IfcProductDefinitionShape($,$,(#858550,#858555))",920625,2109.99999999999,1060.00000000011,
66,872119,ACU2102.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGKb,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:920638,,1060mm - 2110mm S/O Laminate,"#1381714=IfcLocalPlacement(#1381693,#1381713)","#872113=IfcProductDefinitionShape($,$,(#872106,#872111))",920638,2109.99999999999,1060.0,
67,906599,ACU2C02.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGKa,IDT 1b - Single Door (Glazed):1060mm-2110mm S/O:920639,,1060mm-2110mm S/O,"#1381751=IfcLocalPlacement(#1381730,#1381750)","#906593=IfcProductDefinitionShape($,$,(#906586,#906591))",920639,2109.99999999999,1060.0,
68,919433,ACU2101.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGLR,IDT 1d - Single Door:1060mm - 2110mm S/O Lead Lined Laminate:920640,,1060mm - 2110mm S/O Lead Lined Laminate,"#1381788=IfcLocalPlacement(#1381767,#1381787)","#919427=IfcProductDefinitionShape($,$,(#919420,#919425))",920640,2109.99999999999,1060.00000000011,
69,919616,ACU2103.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGLQ,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:920641,,1060mm - 2110mm S/O Laminate,"#1381677=IfcLocalPlacement(#1381654,#1381676)","#919610=IfcProductDefinitionShape($,$,(#919603,#919608))",920641,2109.99999999999,1060.00000000011,
70,932375,ACU2104.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGLP,IDT 1d - Single Door:1060mm - 2110mm S/O Lead Lined Laminate:920642,,1060mm - 2110mm S/O Lead Lined Laminate,"#1381638=IfcLocalPlacement(#1381617,#1381637)","#932369=IfcProductDefinitionShape($,$,(#932362,#932367))",920642,2109.99999999999,1060.00000000011,
71,932489,ACU2104.D2,IfcDoor,2_hpFtsafFsfnLLPMQ5Tvn,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:920643,,1060mm - 2110mm S/O Laminate,"#1381825=IfcLocalPlacement(#1381804,#1381824)","#932483=IfcProductDefinitionShape($,$,(#932476,#932481))",920643,2109.99999999999,1060.0,
72,932876,ACU2109.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGLL,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:920654,,1060mm - 2110mm S/O Laminate,"#1381864=IfcLocalPlacement(#1381841,#1381863)","#932870=IfcProductDefinitionShape($,$,(#932863,#932868))",920654,2109.99999999999,1060.00000000011,
73,944870,ACU2101.D2,IfcDoor,0AcAo2VQn4rQjj5WAAoGLB,IDT 3d - Equal Double Door:1910mm - 2110mm S/O Lead Lined Laminate:920656,,1910mm - 2110mm S/O Lead Lined Laminate,"#1381901=IfcLocalPlacement(#1381880,#1381900)","#944864=IfcProductDefinitionShape($,$,(#944857,#944862))",920656,2110.0,1909.9999999999802,
74,945303,ACU2116A.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGLF,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:920660,,1060mm - 2110mm S/O Laminate,"#1381938=IfcLocalPlacement(#1381917,#1381937)","#945297=IfcProductDefinitionShape($,$,(#945290,#945295))",920660,2109.99999999999,1060.00000000011,
75,945868,ACU2121A.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGL0,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:920667,,1060mm - 2110mm S/O Laminate,"#1382016=IfcLocalPlacement(#1381993,#1382015)","#945862=IfcProductDefinitionShape($,$,(#945855,#945860))",920667,2109.99999999999,1060.00000000011,
76,958960,ACU2185.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGL$,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:920676,,1060mm - 2110mm S/O Laminate,"#1382094=IfcLocalPlacement(#1382071,#1382093)","#958954=IfcProductDefinitionShape($,$,(#958947,#958952))",920676,2109.99999999999,1060.0,
77,959316,ACU2C03.D1,IfcDoor,0AcAo2VQn4rQjj5WAAoGLZ,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O DS Laminate:920696,FD30S,1910mm - 2110mm S/O DS Laminate,"#1382133=IfcLocalPlacement(#1382110,#1382132)","#959310=IfcProductDefinitionShape($,$,(#959303,#959308))",920696,2110.0,1909.99999999995,FD30S
