,Assembly Code,Assembly Description,Blind Type,DOOR_Radiation Protection,Sill Height,Comments,DOOR_Finger Protection,DOOR_Privacy VP,DOOR_Ventilation,OmniClass Number,OmniClass Title,Access Control,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finishes,DOOR_Protection,DOOR_Signage,DOOR_Type,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,RevisedByType_ARUtils,RevisedType_ARUtils,Rough Height,Rough Width,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,DOOR_Power,Acoustic Designation,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width
IfcText('RAD1036.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3$2ak9Dlz5fPwzEBXupccs'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('RAD1036.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(122.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcLengthMeasure(1510.),,,IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1024.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupcbK'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1024.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,IfcText('30dB'),,,,,
IfcText('RAD1026.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupcbm'),IfcText('04b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1026.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,,,,,,
IfcText('RAD1027.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupca0'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1027.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),IfcText('Delayed Close'),,,,,,
IfcText('RAD1049.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText(''),IfcText('Half Height/Edge'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O HH Acrovyn'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O HH Acrovyn'),IfcText('Laminate'),IfcText('FD30S'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3YnyezDt97a90LthAZ8stk'),IfcText('17c'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('RAD1049.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O HH Acrovyn'),IfcText('DUD/SS'),IfcText('J196'),IfcLengthMeasure(1510.),IfcText('Delayed Close'),,IfcBoolean(.F.),IfcText(''),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1045.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0V1XMZEr1CBgq9i_8OdeUZ'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1045.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J42'),IfcLengthMeasure(810.),,,,,,,
IfcText('RAD1044.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0V1XMZEr1CBgq9i_8OdeVr'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1044.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J42'),IfcLengthMeasure(810.),,,,,,,
IfcText('RAD1047.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('0V1XMZEr1CBgq9i_8OdeTe'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('RAD1047.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcLengthMeasure(1510.),,,IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1048.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(926.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1010mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1010mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0V1XMZEr1CBgq9i_8OdeNM'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1048.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1010.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1010mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J40'),IfcLengthMeasure(1010.),,,,,,,
IfcText('RAD1C03.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcText('TBC'),IfcText('Kick/Mid/Edge'),IfcText(''),IfcText('IDT 3b'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2sFZ$mIFH2YubSTdudzl6C'),IfcText('22d'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('RAD1C03.D1'),IfcText('Double Door Double Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS Laminate'),IfcText('DD/SS (GL)'),IfcText('J78'),IfcLengthMeasure(1910.),IfcText('Delayed Close'),,,,,,
IfcText('RAD1030.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText('Supply only'),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2OIaYFNRHCEgi8EglT9pHA'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1030.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,,,,,,
IfcText('RAD1040.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1h4ZOoGRXBmv7H6Eh5HFGt'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1040.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,,,,,,
IfcText('RAD1042.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1h4ZOoGRXBmv7H6Eh5HFJV'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1042.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,,,,,,
IfcText('RAD1019.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 3'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('14Kxi118b2Fxwelmp74VM3'),IfcText('19a'),IfcText('L20/432'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1019.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(112.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined'),IfcText('SD/SS'),IfcText('J173'),IfcLengthMeasure(1060.),IfcText('Delayed Close'),IfcText('30dB'),,,,,
IfcText('RAD1023.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(926.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1010mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1010mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3qFW0qg1z1duXUuQYYSgKN'),IfcText('03DA'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1023.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1010.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1010mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J40'),IfcLengthMeasure(1010.),IfcText('Delayed Close'),,,,,,
IfcText('RAD1029.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText('RF shielding to manufacturers spec'),IfcLengthMeasure(0.),IfcText('In Abeyance - Kick-out panel required as per GE Healthcare drawing'),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(1326.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1410mm - 2110mm S/O MRI Laminate'),IfcLabel('IDT 1d - Single Door: 1410mm - 2110mm S/O MRI Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),,IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),,IfcText('Specialist'),IfcText('L20/484'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1029.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('jgf36191'),IfcText('2020/08/14 12:04'),IfcLengthMeasure(2110.),IfcLengthMeasure(1410.),IfcLengthMeasure(38.),IfcLengthMeasure(175.),IfcLabel('IDT 1d - Single Door: 1410mm - 2110mm S/O MRI Laminate'),IfcText('SD/SS'),IfcText('J215'),IfcLengthMeasure(1410.),,IfcText('30dB'),,,,,
IfcText('RAD1004.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),,IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),,IfcText('03'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1004.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J42'),IfcLengthMeasure(810.),,,,,,,
IfcText('RAD1003.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),,IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O DS Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O DS Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),,IfcText('30a'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1003.D1'),IfcText('Single Door Double Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O DS Laminate'),IfcText('SD/SS'),IfcText('J44'),IfcLengthMeasure(1060.),,,,,,,
